number,mergedAt,title,summary,url
2233,2025-12-20T03:15:15Z,feat: Fused RMSNorm + FP4 Quantization Kernels in CuTe-DSL,Fused RMSNorm + FP4 Quantization Kernels (CuTe-DSL) This PR adds two high-performance fused kernels implemented in CuTe-DSL for Blackwell (…,https://github.com/flashinfer-ai/flashinfer/pull/2233
2125,2025-12-20T03:09:04Z,feat: support variable sequence length in decode kernel of trtllm-gen attention,Fix #1832 This PR adds two extra parameters max_q_len and cum_seq_lens_q to flashinfer.decode.trtllm_batch_decode_with_kv_cache kernel to s…,https://github.com/flashinfer-ai/flashinfer/pull/2125
2215,2025-12-19T05:45:16Z,feat: further optimize top-k and add fused top-k page construction kernels for DSA,"Follow up of #2119 , this PR implements top_k_page_table_transform and top_k_ragged_transform function required for dsa in sglang.",https://github.com/flashinfer-ai/flashinfer/pull/2215
2243,2025-12-19T05:03:32Z,feat: RMSNorm/Fused RMSNorm + FP8 Quantization kernels,"FP8 model inference requires multiple intermediate quantization kernels, which can be avoided by fusing norm and quantization kernels.",https://github.com/flashinfer-ai/flashinfer/pull/2243
2237,2025-12-18T07:57:09Z,[feat] Integrate SGLang concat_mla_k kernel into flashinfer,Integrate SGLang optimized concat_mla_k kernel Add test as well as benchmark,https://github.com/flashinfer-ai/flashinfer/pull/2237
2047,2025-12-17T20:47:31Z,Rebase FP8 SM100 Cutlass FMHA Attention to main (original PR#1238),Just does a refresh of the FP8 Attention and adds benchmarks for Deepseek FMHA sizes.,https://github.com/flashinfer-ai/flashinfer/pull/2047
2229,2025-12-17T15:43:56Z,misc: upgrade tvm-ffi dependency to 0.1.6,Fix #2226,https://github.com/flashinfer-ai/flashinfer/pull/2229
2211,2025-12-17T15:00:18Z,Move the run function definition out of BatchedGemmInterface,Move the run function definition out of BatchedGemmInterface,https://github.com/flashinfer-ai/flashinfer/pull/2211
2213,2025-12-17T08:07:49Z,feat: Cold L2 Cache Benchmarking with Rotating Buffers,Cold L2 Cache Benchmarking for CUDA Graphs Problem bench_gpu_time_with_cudagraph captures multiple kernel iterations within a graph to amor…,https://github.com/flashinfer-ai/flashinfer/pull/2213
2214,2025-12-17T05:58:29Z,misc: support checks for gemm,Continuation of !2000,https://github.com/flashinfer-ai/flashinfer/pull/2214
